id,file,scene,speaker,est_sec,text,tts_reading
S04_01_akari,voice/final/S04_01_akari.wav,S04 見るべき数字① 年間返済額,燈,11.6,仮に借入金利が2.00％なら、年間返済額はおよそ444万円です。これが2.25％になると、およそ459万円。,仮にかりいれ金利がにーてんれいれいパーセントなら、年間返済額はおよそよんひゃくよんじゅうよんまんえんです。これがにーてんにーごパーセントになると、およそよんひゃくごじゅうきゅうまんえん。
S04_02_akari,voice/final/S04_02_akari.wav,S04 見るべき数字① 年間返済額,燈,5.9,0.25ポイントの上昇で、年間約15万円、返済負担が増えます。,れいてんにーごポイントの上昇で、年間約じゅうごまんえん、返済負担が増えます。
S04_03_akari,voice/final/S04_03_akari.wav,S04 見るべき数字① 年間返済額,燈,6.1,1億円だけなら15万円でも、借入額が数億円になれば影響も大きくなります。,いちおくえんだけならじゅうごまんえんでも、かりいれ額がすうおくえんになれば影響も大きくなります。
S04_04_akari,voice/final/S04_04_akari.wav,S04 見るべき数字① 年間返済額,燈,6.6,大切なのは、金利が上がったというニュースではなく、自分の年間返済額がいくら増えるかです。,大切なのは、金利が上がったというニュースではなく、自分の年間返済額がいくら増えるかです。
S05_00_akari,voice/final/S05_00_akari.wav,S05 見るべき数字② 返済比率,燈,2.7,2つ目は、返済比率です。,ふたつめは、返済比率です。
S05_01_akari,voice/final/S05_01_akari.wav,S05 見るべき数字② 返済比率,燈,6.8,家賃収入が同じままで返済額だけが増えれば、当然、経営の余力は小さくなります。,家賃収入が同じままで返済額だけが増えれば、当然、経営の余力は小さくなります。
S05_02_akari,voice/final/S05_02_akari.wav,S05 見るべき数字② 返済比率,燈,8.3,さらに今は、金利だけを見るわけにはいきません。修繕費、人件費、設備費なども上昇しています。,さらに今は、金利だけを見るわけにはいきません。修繕費、人件費、設備費なども上昇しています。
S05_03_akari,voice/final/S05_03_akari.wav,S05 見るべき数字② 返済比率,燈,9.0,金利上昇と経費上昇が同時に起きたとき、物件にどれだけ余力が残っているのか。ここを確認する必要があります。,金利上昇と経費上昇が同時に起きたとき、物件にどれだけ余力が残っているのか。ここを確認する必要があります。
S06_00_akari,voice/final/S06_00_akari.wav,S06 見るべき数字③ DSCR,燈,3.2,そして3つ目が、DSCRです。,そしてみっつめが、ディーエスシーアールです。
S06_01_akari,voice/final/S06_01_akari.wav,S06 見るべき数字③ DSCR,燈,10.7,簡単に言えば、物件が生み出す利益で、借入返済をどれだけ余裕を持って支払えるかを見る数字です。,簡単に言えば、物件が生み出す利益で、かりいれ返済をどれだけ余裕を持って支払えるかを見る数字です。
S06_02_akari,voice/final/S06_02_akari.wav,S06 見るべき数字③ DSCR,燈,4.9,金利上昇局面では、表面利回りだけを見ていても分かりません。,金利上昇局面では、ひょうめんりまわりだけを見ていても分かりません。
S06_03_akari,voice/final/S06_03_akari.wav,S06 見るべき数字③ DSCR,燈,10.5,金利がもう少し上がった場合でも返済できるか。ストレスをかけて確認しておくことが重要になります。,金利がもう少し上がった場合でも返済できるか。ストレスをかけて確認しておくことが重要になります。
S07_00_akari,voice/final/S07_00_akari.wav,S07 大家Mコメント,燈,5.3,では、現役会社員大家Mさんは、この利上げをどう見ているのでしょうか。,では、現役会社員おおやエムさんは、この利上げをどう見ているのでしょうか。
S07_01_ooka_m,voice/final/S07_01_ooka_m.wav,S07 大家Mコメント,大家M,9.7,私なら、まず金利が上がったから買わないとは考えません。見るのは、金利が上がってもキャッシュフローが残る物件なのかどうかですね。,私なら、まず金利が上がったから買わないとは考えません。見るのは、金利が上がってもキャッシュフローが残る物件なのかどうかですね。
S07_02_ooka_m,voice/final/S07_02_ooka_m.wav,S07 大家Mコメント,大家M,9.3,特にこれから買う物件なら、現在の金利だけではなく、さらに0.5％、1％上がったケースも計算しておきたいです。,特にこれから買う物件なら、現在の金利だけではなく、さらにれいてんごパーセント、いちパーセント上がったケースも計算しておきたいです。
S07_03_ooka_m,voice/final/S07_03_ooka_m.wav,S07 大家Mコメント,大家M,10.9,それでも返済できるのか。DSCRがどこまで下がるのか。返済比率がどこまで上がるのか。そこまで見てから判断します。,それでも返済できるのか。ディーエスシーアールがどこまで下がるのか。返済比率がどこまで上がるのか。そこまで見てから判断します。
S07_04_ooka_m,voice/final/S07_04_ooka_m.wav,S07 大家Mコメント,大家M,14.4,それと、同じ価格の物件でも、融資期間が取れるかどうかでキャッシュフローはかなり変わります。ですから今後は、物件選びと金融機関選びをセットで考えることが、以前より重要になると思います。,それと、同じ価格の物件でも、融資期間が取れるかどうかでキャッシュフローはかなり変わります。ですから今後は、物件選びと金融機関選びをセットで考えることが、以前より重要になると思います。
S08_00_ooka_m,voice/final/S08_00_ooka_m.wav,S08 大家の一手,大家M,2.1,今日の大家の一手です。,今日のおおやの一手です。
S08_01_ooka_m,voice/final/S08_01_ooka_m.wav,S08 大家の一手,大家M,11.9,保有物件と購入候補について、現在金利、プラス0.5％、プラス1.0％の3パターンで年間返済額を出してみる。まずはこれです。,保有物件と購入候補について、現在金利、プラスれいてんごパーセント、プラスいってんれいパーセントの3パターンで年間返済額を出してみる。まずはこれです。
S08_02_ooka_m,voice/final/S08_02_ooka_m.wav,S08 大家の一手,大家M,5.2,金利を予想するより、上がっても耐えられる経営を作る方が重要です。,金利を予想するより、上がっても耐えられる経営を作る方が重要です。
S09_00_akari,voice/final/S09_00_akari.wav,S09 燈まとめ,燈,2.4,今日のポイントを整理します。,今日のポイントを整理します。
S09_01_akari,voice/final/S09_01_akari.wav,S09 燈まとめ,燈,14.7,今回、日銀は政策金利を1.25％程度へ引き上げました。ただ、大家さんが見るべき数字は3つです。年間返済額。返済比率。DSCR。,今回、にちぎんは政策金利をいってんにーごパーセント程度へ引き上げました。ただ、おおやさんが見るべき数字はみっつです。年間返済額。返済比率。ディーエスシーアール。
S09_02_akari,voice/final/S09_02_akari.wav,S09 燈まとめ,燈,14.4,そして日銀は、足元の金融環境について、金融機関の貸出態度は引き続き積極的との見方も示しています。ですから、今回の利上げだけを見て、融資が止まると決めつけるのも早いでしょう。,そしてにちぎんは、あしもとの金融環境について、金融機関の貸出態度は引き続き積極的との見方も示しています。ですから、今回の利上げだけを見て、融資が止まると決めつけるのも早いでしょう。
S10_00_akari,voice/final/S10_00_akari.wav,S10 エンディング,燈,11.6,ニュースを知るだけで終わらず、大家としてどう考えるか。燈の不動産ニュースでは、これからも不動産の最新ニュースを、大家の経営目線で分かりやすくお届けします。,ニュースを知るだけで終わらず、おおやとしてどう考えるか。あかりの不動産ニュースでは、これからも不動産の最新ニュースを、おおやの経営目線で分かりやすくお届けします。
S10_01_akari,voice/final/S10_01_akari.wav,S10 エンディング,燈,8.1,よければチャンネル登録をお願いします。それでは、また次のニュースでお会いしましょう。燈でした。,よければチャンネル登録をお願いします。それでは、また次のニュースでお会いしましょう。あかりでした。
SHORTS_00_akari,voice/final/SHORTS_00_akari.wav,SHORTS Shorts,燈,7.4,日銀が政策金利を1.25％程度へ引き上げました。9月24日から適用です。,にちぎんが政策金利をいってんにーごパーセント程度へ引き上げました。くがつにじゅうよっかから適用です。
SHORTS_01_akari,voice/final/SHORTS_01_akari.wav,SHORTS Shorts,燈,5.3,では、大家さんが見るべき数字は何か。ポイントは3つです。,では、おおやさんが見るべき数字は何か。ポイントはみっつです。
SHORTS_02_akari,voice/final/SHORTS_02_akari.wav,SHORTS Shorts,燈,11.6,1つ目は年間返済額。1億円・30年の単純試算では、2.00％から2.25％になると、年間およそ15万円増えます。,ひとつめは年間返済額。いちおくえん、さんじゅうねんの単純試算では、にーてんれいれいパーセントからにーてんにーごパーセントになると、年間およそじゅうごまんえん増えます。
SHORTS_03_akari,voice/final/SHORTS_03_akari.wav,SHORTS Shorts,燈,8.5,2つ目は返済比率、3つ目はDSCR。金利がさらに上がっても返済できるか、確認しておきましょう。,ふたつめは返済比率、みっつめはディーエスシーアール。金利がさらに上がっても返済できるか、確認しておきましょう。
SHORTS_04_ooka_m,voice/final/SHORTS_04_ooka_m.wav,SHORTS Shorts,大家M,15.4,今日の大家の一手です。現在金利、プラス0.5％、プラス1.0％の3パターンで年間返済額を出してみる。金利を予想するより、上がっても耐えられる経営を作る方が重要です。,今日のおおやの一手です。現在金利、プラスれいてんごパーセント、プラスいってんれいパーセントの3パターンで年間返済額を出してみる。金利を予想するより、上がっても耐えられる経営を作る方が重要です。
SHORTS_05_akari,voice/final/SHORTS_05_akari.wav,SHORTS Shorts,燈,5.8,詳しい解説は本編でお届けしています。燈の不動産ニュースでした。,詳しい解説は本編でお届けしています。あかりの不動産ニュースでした。
